NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SUPERPATHWAY OF INOSITOL PHOSPHATE COMPOUNDS%BIOCYC%PWY-6371	68	68		
L-PROLINE DEGRADATION%BIOCYC%PROUT-PWY	2		Rejected!	
METHYLGLYOXAL DEGRADATION I%BIOCYC%PWY-5386	2		Rejected!	
L-ALANINE DEGRADATION%BIOCYC%ALANINE-DEG3-PWY	2		Rejected!	
ACETATE CONVERSION TO ACETYL-COA%BIOCYC%PWY0-1313	3		Rejected!	
SPERMINE AND SPERMIDINE DEGRADATION I%BIOCYC%PWY-6117	5		Rejected!	
L-TYROSINE BIOSYNTHESIS%BIOCYC%PWY-6134	1		Rejected!	
ACYLCERAMIDE BIOSYNTHESIS AND PROCESSING%BIOCYC%PWY-8042	7		Rejected!	
HOMOCARNOSINE BIOSYNTHESIS%BIOCYC%PWY66-421	1		Rejected!	
UMP BIOSYNTHESIS%BIOCYC%PWY-5686	3		Rejected!	
GUANOSINE NUCLEOTIDES DEGRADATION%BIOCYC%PWY-6608	4		Rejected!	
SUPEROXIDE RADICALS DEGRADATION%BIOCYC%DETOX1-PWY	4		Rejected!	
<I>MYO< I>-INOSITOL BIOSYNTHESIS%BIOCYC%PWY-2301	3		Rejected!	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	73	60		
DOLICHOL AND DOLICHYL PHOSPHATE BIOSYNTHESIS%BIOCYC%PWY-6129	5		Rejected!	
PURINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-841	29	29		
NAD SALVAGE PATHWAY IV (FROM NICOTINAMIDE RIBOSIDE)%BIOCYC%PWY3O-4106	5		Rejected!	
GABA SHUNT%BIOCYC%GLUDEG-I-PWY	7		Rejected!	
PENTOSE PHOSPHATE PATHWAY (OXIDATIVE BRANCH)%BIOCYC%OXIDATIVEPENT-PWY	3		Rejected!	
UBIQUINOL-10 BIOSYNTHESIS (LATE DECARBOXYLATION)%BIOCYC%PWY-5872	9		Rejected!	
GUANOSINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-7228	14		Rejected!	
SERINE AND GLYCINE BIOSYNTHESIS%BIOCYC%SER-GLYSYN-PWY	6		Rejected!	
PURINE DEOXYRIBONUCLEOSIDES SALVAGE%BIOCYC%PWY-7224	11		Rejected!	
THYROID HORMONE METABOLISM II (VIA CONJUGATION AND OR DEGRADATION)%BIOCYC%PWY-6261	6		Rejected!	
GLUTAMINYL-TRNA<SUP>GLN< SUP> BIOSYNTHESIS VIA TRANSAMIDATION%BIOCYC%PWY-5921	3		Rejected!	
VITAMIN K-EPOXIDE CYCLE%BIOCYC%PWY-7999	4		Rejected!	
MELATONIN DEGRADATION I%BIOCYC%PWY-6398	11		Rejected!	
PURINE DEOXYRIBONUCLEOSIDES DEGRADATION%BIOCYC%PWY-7179-1	2		Rejected!	
GLUTATHIONE-MEDIATED DETOXIFICATION I%BIOCYC%PWY-4061	21	19		
TETRAHYDROFOLATE SALVAGE FROM 5,10-METHENYLTETRAHYDROFOLATE%BIOCYC%PWY-6613	2		Rejected!	
