Gene	GSM7465903	GSM7465905	GSM7465907	GSM7465909	GSM7465911	GSM7465913	GSM7465915	GSM7465917	GSM7465919
ABCC11	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-0.480849125908632	-0.15010718102456	-1.01251661582048	-0.705516778430979	0.0124326142138436
ABCC12	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.90415350707416	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ABCC2	3.86644197278295	4.53293997723572	4.10871969603851	4.25709830706311	-0.776881152513706	3.97867940376021	1.47257677949809	-0.0977196058508798	-1.35551739229356
ABCC3	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.52152503522407	5.2124319182661	3.04730642788138	1.82395178536048	0.0124326142138436
ABCC4	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.10622393312086	2.24839007854048	2.55669111926093	2.40319174202466	2.52245335337135
ABCC5	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	2.65525065493856	2.76786816691788	3.46783077201333	2.63642310759165	2.41513030804311
ABCC5-AS1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598
ABCC6	7.16875150081777	7.73752651755368	7.61642716146356	8.23018553567042	1.03269476902836	4.79048408986308	1.47257677949809	0.624225217393225	-1.35551739229356
ABCC8	-0.326215280218669	-0.91779189524796	-0.643913911713827	-0.393720672094639	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.96444273133989	-2.43564143663598
ABCC9	-0.326215280218669	-0.634544150248371	-0.643913911713827	0.419524718271533	-1.6539457653686	-2.43564143663598	-2.43564143663598	-2.18088970646378	-2.43564143663598
ABCD1	-0.326215280218669	-0.397885077350989	-0.204996199861227	0.873008246178492	2.6244821879131	3.30092348788887	2.67844000967996	2.23834236865556	1.96051266734306
ABCD2	-1.02551848950384	-2.43564143663598	-0.926341233644155	-1.51661541928687	2.85400734351962	2.74877559928552	3.45425670347286	3.47823011990976	3.60052416581
ABCD3	1.63020501202501	2.07167452210724	1.97808203168698	1.9288219707492	3.09750038470685	4.08906458298548	3.6214758579855	3.23190001332605	2.66980766879957
ABCD4	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.48773297419784	4.19160083224573	4.10244027120901	3.94414501182502	3.57581881832868
ABCE1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.45845658612179	3.85021373442921	4.50922195465943	4.4308352394853	4.19446069383406
ABCF1	1.94918044780469	2.07167452210724	1.89224459146131	2.66896517736945	4.83282113669538	4.77169042946213	4.43514673155313	4.83076357112197	5.03234243484882
ABCF2	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.91388011161769	3.62791726971108	4.14530832690503	3.97066723811301	3.78427009314799
ABCF3	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.02407188889938	3.83218705383055	3.88696975387831	3.77387611081564	3.62481356096059
ABCG1	-2.43564143663598	-1.27058113764785	-2.43564143663598	-2.43564143663598	4.52660506133474	3.79544354885631	3.80378464940558	3.56346812808525	4.25795762489198
ABCG2	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	0.719889752658135	4.55249788793514	2.30773404917269	0.483972033010752	-2.43564143663598
ABCG4	1.31195926330154	1.904750000332	2.05909785202089	0.997213993360916	-2.43564143663598	-2.43564143663598	-1.79358463967636	-2.43564143663598	-2.43564143663598
ABCG5	1.39834003687966	1.01582119723262	1.00387122392935	0.936447360725724	-1.14976545384205	4.62758139362081	1.84962975496228	0.244154196006573	-2.43564143663598
ABCG8	4.01053374219019	4.15930703302876	4.2097614278191	4.41576688491437	-0.776881152513706	4.00305473487835	1.41768134506977	-0.043634884933712	-2.43564143663598
ABHD1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-0.0255984186832451	-1.14092228978411	-1.01251661582048	-0.546625254201272	-1.35551739229356
ABHD10	3.54529620219391	3.69270633392048	3.39768257801352	4.21933669153112	3.69443335560433	3.59622333599522	3.96561880382692	3.73958610240422	3.55068302368912
ABHD11	-2.43564143663598	-2.43564143663598	-2.43564143663598	-1.51661541928687	3.36280889987313	4.46746360732365	3.37001564053441	3.2697713447592	2.17308354621127
ABHD12	2.05933573645349	2.97786013676733	3.08593809790361	4.11352231049748	4.24243315542377	4.37710163861712	3.8563346561679	4.0031487314289	3.80567625377781
ABHD12B	3.82025038687029	4.68879511847602	4.17383242365011	4.72062668557366	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.18088970646378	-2.43564143663598
ABHD13	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.90110043492094	4.00305473487835	4.56712176350061	4.09340924836993	4.14493398384244
ABHD14A	-2.43564143663598	-2.43564143663598	-2.43564143663598	-0.111184352556586	4.70630531999788	4.14854588108052	4.62278725586875	4.73731363341409	4.27340460119633
ABHD14B	-2.43564143663598	-2.43564143663598	-1.74359543059832	-2.43564143663598	5.4523790340713	5.5983771687242	5.49011257870147	5.54314139076098	5.44761259662138
ABHD15	-0.633904514250899	-0.634544150248371	-2.43564143663598	-1.21144214219188	2.71488630941583	2.92920249678155	3.66925793044211	3.36282139318136	1.96051266734306
ABHD16A	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	4.08183798952981	4.50208104895841	4.2974939128918	4.42365380072982	4.16163251453003
ABHD16B	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.18088970646378	-2.43564143663598
ABHD17A	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	6.45589938829956	6.38145794373163	6.24849124718027	6.69194024194531	6.42739518966928
ABHD17B	0.779725060151776	2.29063016516758	0.734676237536113	0.229985547248151	2.31332477980429	3.01160409092398	2.30773404917269	2.57724564960763	3.2089528103319
ABHD17C	7.46113008013236	7.64703370148391	7.27759130731267	6.55018960966447	1.20895375693127	1.98025865831922	0.960708617523797	1.12694322935407	1.40940838918604
ABHD18	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	3.83544673336052	4.67891652828681	4.21135315304892	4.19250680758058	4.1280399098197
ABHD2	3.18113807017256	3.09881069459583	3.31762303755887	4.67020092122214	3.43551280308983	4.08145398040554	3.8563346561679	3.65625680878024	3.90818715099261
ABHD3	-2.43564143663598	-1.73856784154549	-2.43564143663598	-2.43564143663598	4.54315080902576	4.6327978902011	4.55445445941184	4.8271395170192	4.75268353379276
ABHD4	13.3618575825588	11.2850257733153	12.215631983758	14.1738037892967	2.77215439042162	2.402934942175	2.91482823330896	2.83714428578975	2.17308354621127
ABHD5	2.99961215320417	3.5301447176521	3.2502144123927	2.61181755471386	4.66154167673211	4.95361720315789	3.84597667026288	3.70446120436092	4.22655846524167
ABHD6	3.70634550604622	4.42139893537124	4.40835519880412	4.44877626681943	2.82723572999345	4.26062124118502	3.10055896151505	2.77830400271657	2.71576092780496
ABHD8	-1.56474487729607	-1.27058113764785	-2.43564143663598	-1.51661541928687	2.82723572999345	1.76908680760099	1.52545975043338	2.17132060712817	2.10564770802473
ABI1	-2.43564143663598	-2.43564143663598	-2.43564143663598	-2.43564143663598	5.42585738828425	5.15194974814067	5.29831484378238	5.33816434904658	5.67398976148177
